id,family,origin_century,domain_of_gravity,domains_colonised,a_core,dominant_form,inscription_medium,SQ1_who_counts,SQ2_valid_document,SQ3_who_controls,SQ4_cooperation_or_domination,SQ5_naturalises,ccp_domains,ccp_variable_families,ccp_expected_signal,coding_status,alpha,codebook_version
1,Liberalismo clásico y social,XVII-XIX,Económico,Político; Biológico,El individuo autónomo y sus derechos como punto de partida; libertad como no-interferencia,Inclusiva (tendencial),"Imprenta, prensa",El individuo-ciudadano portador de derechos; membresía por ciudadanía y capacidad jurídica,El contrato y el derecho subjetivo; la ley general y el registro de propiedad,"Inscripción repartida entre individuo y Estado de derecho (garante, no dueño)","Inclusiva-formal (universalismo jurídico), con sesgo censitario histórico","Naturaliza al individuo pre-social y sus derechos como dados, siendo una construcción histórica",Económico / Político,Derechos de propiedad; libertad de empresa; derechos civiles; separación de poderes; sufragio,Expansión de derechos civiles y de propiedad; límites al Estado,exploratory,,0.1.0
2,Neoliberalismo / libertarismo,XX,Económico,Político; Cultural; Biológico,El mercado autorregulado como orden natural y eficiente ('no hay alternativa'),Ambivalente (excluye por despolitización),Medios de masas → digital,El agente-empresario de sí; membresía económica vía solvencia / scoring,"El contrato privado, el precio y el score crediticio; el dato como capital documedial",El mercado y las plataformas privadas controlan la inscripción (asimetría movilizantes/movilizados),"Excluyente por despolitización (quien no puntúa, no cuenta)",Naturaliza el mercado autorregulado como orden espontáneo in-enmendable ('no hay alternativa'),Económico,Protección de la propiedad; disciplina fiscal; independencia de banca central; (débil en derechos sociales),Blindaje de mercado; contracción de derechos socioeconómicos,exploratory,,0.1.0
3,Socialismo / Marxismo,XIX (1848),Económico,Político; Cultural,La historia como lucha de clases; la propiedad de los medios como raíz de la dominación,Inclusiva (aspiración) / Monopólica (variante estatista),"Prensa obrera, partido",La clase trabajadora / el pueblo productor; membresía por posición en la producción,"El plan, la titularidad colectiva; crítica del título de propiedad como inscripción de dominación",Disputa por arrebatar a la burguesía el control de la inscripción; en variante estatista lo monopoliza el partido,Inclusiva en aspiración; monopólica en la variante estatista (partido único),Riesgo simétrico: naturalizar las 'leyes de la historia' y la inevitabilidad del desenlace,Económico / Político,Propiedad estatal/colectiva; función social de la propiedad; derecho al trabajo,Función social de la propiedad; derechos económicos fuertes,exploratory,,0.1.0
4,Socialdemocracia,fin. XIX,Político,Económico; Biológico,La libertad efectiva exige derechos sociales; mercado + redistribución,Inclusiva,"Prensa de masas, sindicato","El ciudadano social; membresía ensanchada por derechos sociales (trabajo, salud, educación)","El derecho social codificado, el contrato laboral, la seguridad social",Inscripción negociada: Estado + sindicatos + mercado (concertación),Inclusiva,Riesgo bajo: naturalizar el crecimiento como condición del pacto redistributivo,Económico / Biológico,"Derechos socioeconómicos: salud, educación, seguridad social, trabajo",Densidad de derechos sociales codificados,exploratory,,0.1.0
5,Anarquismo,XIX,Político,Económico; Cultural,Toda autoridad no consentida es ilegítima; el Estado como monopolio a abolir,Inclusiva (horizontal),"Prensa libertaria, red",La persona libre en asociación voluntaria; membresía por adhesión revocable,El acuerdo mutuo y el crédito mutuo; rechazo del registro estatal como acto de autoridad,"Nadie monopoliza: inscripción distribuida, horizontal, sin Estado",Inclusiva-horizontal,Naturaliza la bondad de la cooperación espontánea sin coacción,Político,(Huella negativa) descentralización; autonomía local; subsidiariedad,Raramente inscrito en constituciones estatales; señal indirecta,exploratory,,0.1.0
6,Conservadurismo,XVIII (Burke),Cultural,Político; Biológico,La tradición y las instituciones heredadas como sabiduría acumulada; cambio gradual,Ambivalente,"Institución, archivo",El miembro de la comunidad histórica heredada; pertenencia por continuidad y arraigo,"El documento heredado y autoritativo: tradición, costumbre, texto fundacional, lo sagrado","Las instituciones establecidas (Iglesia, familia, cuerpos intermedios) custodian la inscripción",Ambivalente (inclusiva hacia dentro; resistente al reconocimiento nuevo),Naturaliza el orden heredado y sus jerarquías como orden natural o providencial,Cultural / Biológico,Religión oficial / referencia a Dios; familia y matrimonio; educación tradicional,Presencia de religión de Estado y cláusulas de familia tradicional,exploratory,,0.1.0
7,Fascismo / autoritarismo,XX,Los cuatro (dominación total),—,Nación/Estado orgánico y jerárquico sobre el individuo; unidad movilizada bajo un jefe,Monopólica-colapso,"Radio, cine, propaganda de masas",El miembro del pueblo-nación orgánico fundido con el Estado; pertenencia por lealtad al todo,"El acto de lealtad y el registro biopolítico (censo; en el nazismo, racial-biométrico)",El Estado/partido/jefe monopoliza absolutamente la inscripción; colapso del meta-registro,Monopólica-colapso,"Naturaliza la jerarquía y, en el nazismo, la raza como sustrato biológico in-enmendable (falacia armada)",Político / Cultural / Biológico,Provisiones de emergencia amplias; poderes concentrados; partido único; nación orgánica en preámbulo; (nazismo) cláusulas racializadas,Concentración de poder; emergencia ensanchada; ciudadanía restringida,exploratory,,0.1.0
8,Nacionalismo cívico,XVIII-XIX,Cultural,Político,"La nación como comunidad de ciudadanía, instituciones y valores compartidos",Inclusiva,Imprenta → documedialidad,"El conciudadano definido por ciudadanía, instituciones y valores compartidos","La constitución, el padrón de ciudadanía, el ius soli y los derechos",El Estado democrático de derecho como garante inclusivo,Inclusiva,Riesgo bajo: naturalizar la propia comunidad política como horizonte último,Político / Cultural,Ciudadanía por ius soli; preámbulo cívico; igualdad ante la ley,Pertenencia inclusiva; ciudadanía territorial,exploratory,,0.1.0
9,Nacionalismo étnico,XIX,Cultural,Político; Biológico,"La nación como comunidad de origen, lengua y ascendencia; pertenencia por sangre",Excluyente,"Imprenta, prensa → redes","El connacional de origen, lengua y ascendencia común; excluye a quien no comparte el linaje","El censo étnico-lingüístico, el ius sanguinis, el mito de origen",El grupo dominante controla quién se inscribe como nacional,Excluyente,Naturaliza la nación (sangre/lengua) como hecho pre-político in-enmendable — caso ontológico central del libro,Cultural,Lengua oficial única; religión de Estado; ciudadanía por ius sanguinis; reconocimiento negado a minorías,Monopolio de lengua/identidad; ciudadanía por linaje,exploratory,,0.1.0
10,Feminismos,XIX-XX,Biológico,Cultural; Económico; Político,El orden de género (patriarcado) como estructura de dominación a desmontar,Inclusiva,"Prensa, red",El sujeto sexuado antes invisibilizado; membresía plena con independencia del género,"El registro biopolítico reabierto (cuerpo, familia, reproducción): igualdad, derechos reproductivos","Disputa por quién inscribe el cuerpo y la familia (Estado, medicina, familia patriarcal)",Inclusiva,Denuncia la naturalización del patriarcado (el género presentado como naturaleza siendo estructura),Biológico,Igualdad de género; no discriminación por sexo; derechos reproductivos,Ensanchamiento del registro biopolítico,exploratory,,0.1.0
11,Ecologismo / ecología profunda,XX,Biológico,Económico; Cultural; Político,La biosfera y la vida no humana con valor intrínseco; límites materiales del crecimiento,Inclusiva (ensancha el demos),"Medios, red",Extiende la pertenencia más allá de lo humano: la vida no humana como titular de standing,Los derechos de la naturaleza; el registro de límites materiales (ecológicos),Disputa por inscribir a los no-humanos y a las generaciones futuras como sujetos,Inclusiva (ensancha el demos),Sutileza reflexiva: afirmar 'valor intrínseco' roza el lado del 'ser'; declarar si es tesis ontológica o compromiso normativo,Biológico / Cultural,Cláusulas ambientales; derechos de la naturaleza; desarrollo sostenible,Aparición de derechos de la naturaleza / provisiones ambientales,exploratory,,0.1.0
12,Ideologías digitales (tecnocracia / transhumanismo / piratismo),XX-XXI,Capa de re-inscripción (Económico/Político),Cultural; Biológico,El conocimiento técnico y/o la tecnología como principio rector; el dato/acceso como bien en disputa,Ambivalente (según variante),Digital-documedialidad,Según variante: el experto competente / el humano aumentado / el usuario-ciudadano digital,"El dato, el algoritmo, el registro digital; el acceso abierto frente a la propiedad intelectual","Quién controla la re-inscripción digital: plataformas, Estado técnico o comunidad abierta",Ambivalente (tecnocracia → excluyente-experto; piratismo → inclusivo-abierto),"Naturaliza la neutralidad/eficiencia de la técnica, como si el registro digital no fuera político",Re-inscripción (RQ3),Derecho a la privacidad; protección de datos; acceso a la información; libertad de expresión (provisiones digitales),Provisiones digitales/datos recientes; disputa por el registro digital,exploratory,,0.1.0
